Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type
PA450215	levomethadyl acetate	Drug	PA130	CYP3A4	Gene
PA450215	levomethadyl acetate	Drug	PA131	CYP3A5	Gene
PA450215	levomethadyl acetate	Drug	PA212	KCNH2	Gene
PA451744	trazodone	Drug	PA130	CYP3A4	Gene
PA451744	trazodone	Drug	PA131	CYP3A5	Gene
PA448084	alfentanil	Drug	PA130	CYP3A4	Gene
PA448084	alfentanil	Drug	PA131	CYP3A5	Gene
PA448084	alfentanil	Drug	PA31945	OPRM1	Gene
PA448710	caffeine	Drug	PA121	CYP2A6	Gene
PA448710	caffeine	Drug	PA129	CYP2E1	Gene
PA448710	caffeine	Drug	PA130	CYP3A4	Gene
PA448710	caffeine	Drug	PA131	CYP3A5	Gene
PA448710	caffeine	Drug	PA164718673	SPECC1L	Gene
PA448710	caffeine	Drug	PA18	NAT2	Gene
PA448710	caffeine	Drug	PA24584	ADORA2A	Gene
PA448710	caffeine	Drug	PA27092	CYP1A1	Gene
PA448710	caffeine	Drug	PA27093	CYP1A2	Gene
PA448710	caffeine	Drug	PA27478	DRD2	Gene
PA448710	caffeine	Drug	PA34896	RYR1	Gene
PA451663	thioguanine	Drug	PA28586	GATA3	Gene
PA451663	thioguanine	Drug	PA29862	IMPDH1	Gene
PA451663	thioguanine	Drug	PA356	TPMT	Gene
PA451663	thioguanine	Drug	PA37404	XDH	Gene
PA451663	thioguanine	Drug	PA397	ABCC4	Gene
PA451663	thioguanine	Drug	PA426	SLC28A3	Gene
PA449011	cisapride	Drug	PA130	CYP3A4	Gene
PA449011	cisapride	Drug	PA131	CYP3A5	Gene
PA449011	cisapride	Drug	PA212	KCNH2	Gene
PA134687924	erlotinib	Drug	PA125	CYP2C8	Gene
PA134687924	erlotinib	Drug	PA130	CYP3A4	Gene
PA134687924	erlotinib	Drug	PA131	CYP3A5	Gene
PA134687924	erlotinib	Drug	PA24429	ACSS2	Gene
PA134687924	erlotinib	Drug	PA267	ABCB1	Gene
PA134687924	erlotinib	Drug	PA27092	CYP1A1	Gene
PA134687924	erlotinib	Drug	PA27093	CYP1A2	Gene
PA134687924	erlotinib	Drug	PA28953	GPX5	Gene
PA134687924	erlotinib	Drug	PA30592	MAP3K1	Gene
PA134687924	erlotinib	Drug	PA30763	MET	Gene
PA134687924	erlotinib	Drug	PA31768	NRAS	Gene
PA134687924	erlotinib	Drug	PA34183	RAF1	Gene
PA134687924	erlotinib	Drug	PA390	ABCG2	Gene
PA134687924	erlotinib	Drug	PA420	UGT1A1	Gene
PA134687924	erlotinib	Drug	PA7360	EGFR	Gene
PA449982	indomethacin	Drug	PA124	CYP2C19	Gene
PA449982	indomethacin	Drug	PA24346	PTGS1	Gene
PA449982	indomethacin	Drug	PA38478	SLC22A12	Gene
PA448809	carisoprodol	Drug	PA124	CYP2C19	Gene
PA451547	sulfasalazine	Drug	PA134897613	ENOSF1	Gene
PA451547	sulfasalazine	Drug	PA134956204	C18orf56	Gene
PA451547	sulfasalazine	Drug	PA143	DHFR	Gene
PA451547	sulfasalazine	Drug	PA18	NAT2	Gene
PA451547	sulfasalazine	Drug	PA245	MTHFR	Gene
PA451547	sulfasalazine	Drug	PA25094	ATIC	Gene
PA451547	sulfasalazine	Drug	PA26551	CLCN6	Gene
PA451547	sulfasalazine	Drug	PA28469	G6PD	Gene
PA451547	sulfasalazine	Drug	PA31272	MTR	Gene
PA451547	sulfasalazine	Drug	PA327	SLC19A1	Gene
PA451547	sulfasalazine	Drug	PA35056	HLA-B	Gene
PA451547	sulfasalazine	Drug	PA35753	SHMT1	Gene
PA451547	sulfasalazine	Drug	PA359	TYMS	Gene
PA451547	sulfasalazine	Drug	PA38266	SMCR8	Gene
PA451547	sulfasalazine	Drug	PA390	ABCG2	Gene
PA164746012	ranibizumab	Drug	PA162376896	ARMS2	Gene
PA164746012	ranibizumab	Drug	PA25236	BAD	Gene
PA164746012	ranibizumab	Drug	PA25341	CFB	Gene
PA164746012	ranibizumab	Drug	PA25637	C2	Gene
PA164746012	ranibizumab	Drug	PA25897	C3	Gene
PA164746012	ranibizumab	Drug	PA27809	EPAS1	Gene
PA164746012	ranibizumab	Drug	PA28180	FLT1	Gene
PA164746012	ranibizumab	Drug	PA28459	FZD4	Gene
PA164746012	ranibizumab	Drug	PA29261	CFH	Gene
PA164746012	ranibizumab	Drug	PA29641	CFI	Gene
PA164746012	ranibizumab	Drug	PA30086	KDR	Gene
PA164746012	ranibizumab	Drug	PA30455	LRP5	Gene
PA164746012	ranibizumab	Drug	PA30621	MAPK14	Gene
PA164746012	ranibizumab	Drug	PA31791	YBX1	Gene
PA164746012	ranibizumab	Drug	PA33829	HTRA1	Gene
PA164746012	ranibizumab	Drug	PA34376	RGS5	Gene
PA164746012	ranibizumab	Drug	PA35508	SERPINF1	Gene
PA164746012	ranibizumab	Drug	PA35798	SKIV2L	Gene
PA164746012	ranibizumab	Drug	PA36278	SYN3	Gene
PA164746012	ranibizumab	Drug	PA37302	VEGFA	Gene
PA164746012	ranibizumab	Drug	PA55	APOE	Gene
PA164746012	ranibizumab	Drug	PA97	SCARB1	Gene
PA450966	pindolol	Drug	PA128	CYP2D6	Gene
PA450966	pindolol	Drug	PA312	SLC6A4	Gene
PA450966	pindolol	Drug	PA39	ADRB2	Gene
PA10252	bortezomib	Drug	PA27006	CTLA4	Gene
PA451688	tiludronate	Drug	PA29808	IL1B	Gene
PA10075	esomeprazole	Drug	PA121	CYP2A6	Gene
PA10075	esomeprazole	Drug	PA124	CYP2C19	Gene
PA10075	esomeprazole	Drug	PA126	CYP2C9	Gene
PA10075	esomeprazole	Drug	PA128	CYP2D6	Gene
PA10075	esomeprazole	Drug	PA129	CYP2E1	Gene
PA10075	esomeprazole	Drug	PA130	CYP3A4	Gene
PA10075	esomeprazole	Drug	PA27093	CYP1A2	Gene
PA450500	mifepristone	Drug	PA267	ABCB1	Gene
PA153561371	egfr inhibitors	Drug	PA33308	PIK3CA	Gene
PA153561371	egfr inhibitors	Drug	PA35055	HLA-A	Gene
PA153561371	egfr inhibitors	Drug	PA7360	EGFR	Gene
PA450121	isoproterenol	Drug	PA24597	ADRA1D	Gene
PA450121	isoproterenol	Drug	PA33	ADRA1B	Gene
PA450121	isoproterenol	Drug	PA34	ADRA1A	Gene
PA450121	isoproterenol	Drug	PA35	ADRA2A	Gene
PA450121	isoproterenol	Drug	PA36	ADRA2B	Gene
PA450121	isoproterenol	Drug	PA37	ADRA2C	Gene
PA450121	isoproterenol	Drug	PA38	ADRB1	Gene
PA450121	isoproterenol	Drug	PA39	ADRB2	Gene
PA143485261	artemisinin and derivatives	Drug	PA28469	G6PD	Gene
PA449051	clonidine	Drug	PA176	GNB3	Gene
PA449051	clonidine	Drug	PA35	ADRA2A	Gene
PA449051	clonidine	Drug	PA36	ADRA2B	Gene
PA449051	clonidine	Drug	PA37	ADRA2C	Gene
PA449845	halothane	Drug	PA34896	RYR1	Gene
PA451224	ranitidine	Drug	PA125	CYP2C8	Gene
PA451224	ranitidine	Drug	PA142672156	CD3EAP	Gene
PA451224	ranitidine	Drug	PA155	ERCC1	Gene
PA451224	ranitidine	Drug	PA183	GSTT1	Gene
PA451224	ranitidine	Drug	PA267	ABCB1	Gene
PA451224	ranitidine	Drug	PA29028	GSTP1	Gene
PA451224	ranitidine	Drug	PA34195	PPP1R13L	Gene
PA164712669	Coxibs	Drug	PA293	PTGS2	Gene
PA449814	griseofulvin	Drug	PA378	NR1I2	Gene
PA165291493	ofatumumab	Drug	PA31111	MS4A1	Gene
PA449349	diphenhydramine	Drug	PA125	CYP2C8	Gene
PA449349	diphenhydramine	Drug	PA142672156	CD3EAP	Gene
PA449349	diphenhydramine	Drug	PA155	ERCC1	Gene
PA449349	diphenhydramine	Drug	PA183	GSTT1	Gene
PA449349	diphenhydramine	Drug	PA267	ABCB1	Gene
PA449349	diphenhydramine	Drug	PA29028	GSTP1	Gene
PA449349	diphenhydramine	Drug	PA34195	PPP1R13L	Gene
PA451720	tolcapone	Drug	PA117	COMT	Gene
PA451720	tolcapone	Drug	PA419	UGT1A9	Gene
PA10034	bosentan	Drug	PA126	CYP2C9	Gene
PA10034	bosentan	Drug	PA134865839	SLCO1B1	Gene
PA10034	bosentan	Drug	PA35844	SLCO1B3	Gene
PA10034	bosentan	Drug	PA374	ABCB11	Gene
PA10034	bosentan	Drug	PA378	NR1I2	Gene
PA449396	dopamine	Drug	PA24597	ADRA1D	Gene
PA449396	dopamine	Drug	PA33	ADRA1B	Gene
PA449396	dopamine	Drug	PA34	ADRA1A	Gene
PA449396	dopamine	Drug	PA35	ADRA2A	Gene
PA449396	dopamine	Drug	PA36	ADRA2B	Gene
PA449396	dopamine	Drug	PA37	ADRA2C	Gene
PA449396	dopamine	Drug	PA38	ADRB1	Gene
PA164743013	caspofungin	Drug	PA134865839	SLCO1B1	Gene
PA449726	galantamine	Drug	PA114	CHRNA7	Gene
PA449726	galantamine	Drug	PA128	CYP2D6	Gene
PA449726	galantamine	Drug	PA130	CYP3A4	Gene
PA449726	galantamine	Drug	PA131	CYP3A5	Gene
PA449726	galantamine	Drug	PA267	ABCB1	Gene
PA449726	galantamine	Drug	PA33532	POR	Gene
PA449726	galantamine	Drug	PA33765	PRKCE	Gene
PA449726	galantamine	Drug	PA55	APOE	Gene
PA165948902	boceprevir	Drug	PA130	CYP3A4	Gene
PA165948902	boceprevir	Drug	PA131	CYP3A5	Gene
PA165948902	boceprevir	Drug	PA134952671	IFNL3	Gene
PA165948902	boceprevir	Drug	PA267	ABCB1	Gene
PA451991	1-methyloxy-4-sulfone-benzene	Drug	PA31744	NQO1	Gene
PA164712718	Drugs used in alcohol dependence	Drug	PA142672368	C8orf49	Gene
PA164712718	Drugs used in alcohol dependence	Drug	PA28587	GATA4	Gene
PA164749650	pyridoxal phosphate	Drug	PA129	CYP2E1	Gene
PA164749650	pyridoxal phosphate	Drug	PA18	NAT2	Gene
PA449918	hydromorphone	Drug	PA128	CYP2D6	Gene
PA449918	hydromorphone	Drug	PA361	UGT2B7	Gene
PA451752	triamterene	Drug	PA305	SCNN1A	Gene
PA451752	triamterene	Drug	PA306	SCNN1B	Gene
PA451752	triamterene	Drug	PA307	SCNN1G	Gene
PA452167	aminoglycoside antibacterials	Drug	PA31762	NR4A2	Gene
PA451258	ritodrine	Drug	PA39	ADRB2	Gene
PA166115521	trichloroethylene	Drug	PA35056	HLA-B	Gene
PA164712636	Corticosteroids For Systemic Use	Drug	PA29226	HDAC1	Gene
PA165981594	eltrombopag	Drug	PA124	CYP2C19	Gene
PA165981594	eltrombopag	Drug	PA125	CYP2C8	Gene
PA165981594	eltrombopag	Drug	PA126	CYP2C9	Gene
PA165981594	eltrombopag	Drug	PA130	CYP3A4	Gene
PA165981594	eltrombopag	Drug	PA134865839	SLCO1B1	Gene
PA165981594	eltrombopag	Drug	PA159	F5	Gene
PA165981594	eltrombopag	Drug	PA27093	CYP1A2	Gene
PA165981594	eltrombopag	Drug	PA35026	SERPINC1	Gene
PA165981594	eltrombopag	Drug	PA361	UGT2B7	Gene
PA165981594	eltrombopag	Drug	PA37178	UGT1A3	Gene
PA165981594	eltrombopag	Drug	PA37179	UGT1A4	Gene
PA165981594	eltrombopag	Drug	PA37181	UGT1A6	Gene
PA165981594	eltrombopag	Drug	PA37188	UGT2B15	Gene
PA165981594	eltrombopag	Drug	PA390	ABCG2	Gene
PA165981594	eltrombopag	Drug	PA419	UGT1A9	Gene
PA165981594	eltrombopag	Drug	PA420	UGT1A1	Gene
PA166123066	menadione sodium bisulfite	Drug	PA28469	G6PD	Gene
PA164953212	norelgestromin	Drug	PA159	F5	Gene
PA164712721	Drugs used in opioid dependence	Drug	PA31945	OPRM1	Gene
PA451581	tamoxifen	Drug	PA116	ABCC2	Gene
PA451581	tamoxifen	Drug	PA123	CYP2B6	Gene
PA451581	tamoxifen	Drug	PA124	CYP2C19	Gene
PA451581	tamoxifen	Drug	PA126	CYP2C9	Gene
PA451581	tamoxifen	Drug	PA128	CYP2D6	Gene
PA451581	tamoxifen	Drug	PA130	CYP3A4	Gene
PA451581	tamoxifen	Drug	PA131	CYP3A5	Gene
PA451581	tamoxifen	Drug	PA134894421	E2F7	Gene
PA451581	tamoxifen	Drug	PA134899373	C10orf11	Gene
PA451581	tamoxifen	Drug	PA134903681	ZNF423	Gene
PA451581	tamoxifen	Drug	PA156	ESR1	Gene
PA451581	tamoxifen	Drug	PA157	F2	Gene
PA451581	tamoxifen	Drug	PA159	F5	Gene
PA451581	tamoxifen	Drug	PA165	FMO1	Gene
PA451581	tamoxifen	Drug	PA166	FMO3	Gene
PA451581	tamoxifen	Drug	PA203	IRS1	Gene
PA451581	tamoxifen	Drug	PA25411	BRCA1	Gene
PA451581	tamoxifen	Drug	PA267	ABCB1	Gene
PA451581	tamoxifen	Drug	PA27093	CYP1A2	Gene
PA451581	tamoxifen	Drug	PA27114	CYP3A	Gene
PA451581	tamoxifen	Drug	PA27886	ESR2	Gene
PA451581	tamoxifen	Drug	PA29697	IGF1	Gene
PA451581	tamoxifen	Drug	PA29698	IGF1R	Gene
PA451581	tamoxifen	Drug	PA29705	IGFBP3	Gene
PA451581	tamoxifen	Drug	PA31470	NCOA1	Gene
PA451581	tamoxifen	Drug	PA341	SULT1A2	Gene
PA451581	tamoxifen	Drug	PA343	SULT1A1	Gene
PA451581	tamoxifen	Drug	PA34862	RRAS2	Gene
PA451581	tamoxifen	Drug	PA37174	UGT1A10	Gene
PA451581	tamoxifen	Drug	PA37178	UGT1A3	Gene
PA451581	tamoxifen	Drug	PA37179	UGT1A4	Gene
PA451581	tamoxifen	Drug	PA37180	UGT1A5	Gene
PA451581	tamoxifen	Drug	PA37181	UGT1A6	Gene
PA451581	tamoxifen	Drug	PA37182	UGT1A7	Gene
PA451581	tamoxifen	Drug	PA37183	UGT1A8	Gene
PA451581	tamoxifen	Drug	PA378	NR1I2	Gene
PA451581	tamoxifen	Drug	PA419	UGT1A9	Gene
PA451581	tamoxifen	Drug	PA94	CCNA2	Gene
PA450550	morphine	Drug	PA117	COMT	Gene
PA450550	morphine	Drug	PA128	CYP2D6	Gene
PA450550	morphine	Drug	PA134926902	CYP2D7P1	Gene
PA450550	morphine	Drug	PA134980674	RHBDF2	Gene
PA450550	morphine	Drug	PA25018	ARVCF	Gene
PA450550	morphine	Drug	PA267	ABCB1	Gene
PA450550	morphine	Drug	PA31945	OPRM1	Gene
PA450550	morphine	Drug	PA329	SLC22A1	Gene
PA450550	morphine	Drug	PA361	UGT2B7	Gene
PA450550	morphine	Drug	PA376	ABCC3	Gene
PA450550	morphine	Drug	PA38302	TXNRD2	Gene
PA450550	morphine	Drug	PA420	UGT1A1	Gene
PA451690	timolol	Drug	PA128	CYP2D6	Gene
PA451690	timolol	Drug	PA38	ADRB1	Gene
PA449015	citalopram	Drug	PA124	CYP2C19	Gene
PA449015	citalopram	Drug	PA126	CYP2C9	Gene
PA449015	citalopram	Drug	PA128	CYP2D6	Gene
PA449015	citalopram	Drug	PA128747823	TPH2	Gene
PA449015	citalopram	Drug	PA129	CYP2E1	Gene
PA449015	citalopram	Drug	PA130	CYP3A4	Gene
PA449015	citalopram	Drug	PA131	CYP3A5	Gene
PA449015	citalopram	Drug	PA134882361	REEP5	Gene
PA449015	citalopram	Drug	PA134887081	COL26A1	Gene
PA449015	citalopram	Drug	PA134914395	PAPLN	Gene
PA449015	citalopram	Drug	PA134916697	RFK	Gene
PA449015	citalopram	Drug	PA145008433	METTL21A	Gene
PA449015	citalopram	Drug	PA164741600	GRIK2	Gene
PA449015	citalopram	Drug	PA180	GRK5	Gene
PA449015	citalopram	Drug	PA192	HTR1A	Gene
PA449015	citalopram	Drug	PA193	HTR2A	Gene
PA449015	citalopram	Drug	PA194	HTR2C	Gene
PA449015	citalopram	Drug	PA24388	ABCB6	Gene
PA449015	citalopram	Drug	PA24408	ABCG1	Gene
PA449015	citalopram	Drug	PA261	SERPINE1	Gene
PA449015	citalopram	Drug	PA267	ABCB1	Gene
PA449015	citalopram	Drug	PA26864	CREB1	Gene
PA449015	citalopram	Drug	PA26875	CRHR2	Gene
PA449015	citalopram	Drug	PA27093	CYP1A2	Gene
PA449015	citalopram	Drug	PA28162	FKBP5	Gene
PA449015	citalopram	Drug	PA28716	GLDC	Gene
PA449015	citalopram	Drug	PA28968	GRIA3	Gene
PA449015	citalopram	Drug	PA28976	GRIK4	Gene
PA449015	citalopram	Drug	PA29009	GSK3B	Gene
PA449015	citalopram	Drug	PA29253	HES6	Gene
PA449015	citalopram	Drug	PA29560	HTR6	Gene
PA449015	citalopram	Drug	PA312	SLC6A4	Gene
PA449015	citalopram	Drug	PA31534	NEDD4L	Gene
PA449015	citalopram	Drug	PA31891	BDNF	Gene
PA449015	citalopram	Drug	PA325	SLC18A2	Gene
PA449015	citalopram	Drug	PA34630	RORA	Gene
PA449015	citalopram	Drug	PA355	TPH1	Gene
PA449015	citalopram	Drug	PA36124	SRP19	Gene
PA449015	citalopram	Drug	PA38	ADRB1	Gene
PA449015	citalopram	Drug	PA83	CACNA1C	Gene
PA452616	debrisoquine	Drug	PA128	CYP2D6	Gene
PA131301952	gefitinib	Drug	PA126	CYP2C9	Gene
PA131301952	gefitinib	Drug	PA128	CYP2D6	Gene
PA131301952	gefitinib	Drug	PA130	CYP3A4	Gene
PA131301952	gefitinib	Drug	PA24429	ACSS2	Gene
PA131301952	gefitinib	Drug	PA267	ABCB1	Gene
PA131301952	gefitinib	Drug	PA28953	GPX5	Gene
PA131301952	gefitinib	Drug	PA30592	MAP3K1	Gene
PA131301952	gefitinib	Drug	PA31768	NRAS	Gene
PA131301952	gefitinib	Drug	PA34183	RAF1	Gene
PA131301952	gefitinib	Drug	PA390	ABCG2	Gene
PA131301952	gefitinib	Drug	PA7360	EGFR	Gene
PA128406956	fluorouracil	Drug	PA116	ABCC2	Gene
PA128406956	fluorouracil	Drug	PA130	CYP3A4	Gene
PA128406956	fluorouracil	Drug	PA134865839	SLCO1B1	Gene
PA128406956	fluorouracil	Drug	PA134866434	UPP2	Gene
PA128406956	fluorouracil	Drug	PA134897613	ENOSF1	Gene
PA128406956	fluorouracil	Drug	PA134920089	GALNT14	Gene
PA128406956	fluorouracil	Drug	PA134925224	PSMB3P	Gene
PA128406956	fluorouracil	Drug	PA134987112	OR10AE3P	Gene
PA128406956	fluorouracil	Drug	PA142671588	KLC3	Gene
PA128406956	fluorouracil	Drug	PA142672417	C1orf167	Gene
PA128406956	fluorouracil	Drug	PA144596411	MEGF11	Gene
PA128406956	fluorouracil	Drug	PA145	DPYD	Gene
PA128406956	fluorouracil	Drug	PA146	DPYS	Gene
PA128406956	fluorouracil	Drug	PA154	SLC29A1	Gene
PA128406956	fluorouracil	Drug	PA155	ERCC1	Gene
PA128406956	fluorouracil	Drug	PA162393424	KLC1	Gene
PA128406956	fluorouracil	Drug	PA162394773	LYRM5	Gene
PA128406956	fluorouracil	Drug	PA162398721	PARD3B	Gene
PA128406956	fluorouracil	Drug	PA162407502	TYMP	Gene
PA128406956	fluorouracil	Drug	PA164727568	WRAP53	Gene
PA128406956	fluorouracil	Drug	PA175	GNAS	Gene
PA128406956	fluorouracil	Drug	PA183	GSTT1	Gene
PA128406956	fluorouracil	Drug	PA184	MSH6	Gene
PA128406956	fluorouracil	Drug	PA24393	ABCC11	Gene
PA128406956	fluorouracil	Drug	PA244	ABCC1	Gene
PA128406956	fluorouracil	Drug	PA245	MTHFR	Gene
PA128406956	fluorouracil	Drug	PA24633	AGXT	Gene
PA128406956	fluorouracil	Drug	PA254	NOS3	Gene
PA128406956	fluorouracil	Drug	PA26474	CHN2	Gene
PA128406956	fluorouracil	Drug	PA26551	CLCN6	Gene
PA128406956	fluorouracil	Drug	PA267	ABCB1	Gene
PA128406956	fluorouracil	Drug	PA26736	COLEC10	Gene
PA128406956	fluorouracil	Drug	PA27091	CYP19A1	Gene
PA128406956	fluorouracil	Drug	PA27114	CYP3A	Gene
PA128406956	fluorouracil	Drug	PA27360	DLG5	Gene
PA128406956	fluorouracil	Drug	PA27848	ERCC2	Gene
PA128406956	fluorouracil	Drug	PA27923	EXO1	Gene
PA128406956	fluorouracil	Drug	PA28130	FGFR4	Gene
PA128406956	fluorouracil	Drug	PA28180	FLT1	Gene
PA128406956	fluorouracil	Drug	PA28183	FLT4	Gene
PA128406956	fluorouracil	Drug	PA29028	GSTP1	Gene
PA128406956	fluorouracil	Drug	PA29705	IGFBP3	Gene
PA128406956	fluorouracil	Drug	PA29863	IMPDH2	Gene
PA128406956	fluorouracil	Drug	PA30086	KDR	Gene
PA128406956	fluorouracil	Drug	PA301	SCN1A	Gene
PA128406956	fluorouracil	Drug	PA30196	KRAS	Gene
PA128406956	fluorouracil	Drug	PA30729	MECP2	Gene
PA128406956	fluorouracil	Drug	PA31236	MTHFD1	Gene
PA128406956	fluorouracil	Drug	PA31647	NLGN1	Gene
PA128406956	fluorouracil	Drug	PA31744	NQO1	Gene
PA128406956	fluorouracil	Drug	PA327	SLC19A1	Gene
PA128406956	fluorouracil	Drug	PA33529	PON1	Gene
PA128406956	fluorouracil	Drug	PA33559	PPAT	Gene
PA128406956	fluorouracil	Drug	PA33807	PROM1	Gene
PA128406956	fluorouracil	Drug	PA33942	PTEN	Gene
PA128406956	fluorouracil	Drug	PA34337	REV3L	Gene
PA128406956	fluorouracil	Drug	PA35013	SCO2	Gene
PA128406956	fluorouracil	Drug	PA352	TK1	Gene
PA128406956	fluorouracil	Drug	PA35753	SHMT1	Gene
PA128406956	fluorouracil	Drug	PA35848	SLC22A7	Gene
PA128406956	fluorouracil	Drug	PA359	TYMS	Gene
PA128406956	fluorouracil	Drug	PA36017	SOD2	Gene
PA128406956	fluorouracil	Drug	PA36018	SOD3	Gene
PA128406956	fluorouracil	Drug	PA36055	SPARC	Gene
PA128406956	fluorouracil	Drug	PA363	UMPS	Gene
